Unknown Clip Name,Matched Song,Confidence Score,Search Time (s),Status
Back In The U.S.S.R. - trimmed (5 sec).mp3,Back In The U.S.S.R.,30,0.0099,SUCCESS
Drive My Car- trimmed (2 sec).mp3,Drive My Car,127,0.0028,SUCCESS
We Are The Champions - high noise.mp3,I Want To Hold Your Hand,15,0.0125,SUCCESS
We Are The Champions - med noise.mp3,We Are The Champions,38,0.0104,SUCCESS
We Are The Champions - noisy.mp3,We Are The Champions,83,0.0106,SUCCESS
We Are The Champions - trimmed (10 sec) (slowed 0.8).mp3,Penny Lane,21,0.0203,SUCCESS
We Are The Champions - trimmed (10 sec) (slowed 0.9).mp3,We Are The Champions,86,0.0117,SUCCESS
We Are The Champions - trimmed (10 sec) (sped 1.2).mp3,Penny Lane,28,0.0114,SUCCESS
We Are The Champions - trimmed (10 sec) (sped-1.1).mp3,We Are The Champions,22,0.0101,SUCCESS
We Are The Champions - trimmed (10 sec).mp3,We Are The Champions,258,0.0104,SUCCESS
We Are The Champions - very high noise.mp3,I Am The Walrus,11,0.0093,SUCCESS
