Unknown Clip Name,Matched Song,Confidence Score,Search Time (s),Status
noisy_0.01.mp3,We Are The Champions,105,1.2707,SUCCESS
noisy_0.05.mp3,We Are The Champions,117,1.2275,SUCCESS
noisy_0.1.mp3,We Are The Champions,109,1.4351,SUCCESS
noisy_0.2.mp3,We Are The Champions,79,1.2168,SUCCESS
noisy_0.3.mp3,We Are The Champions,83,1.526,SUCCESS
noisy_0.4.mp3,We Are The Champions,36,1.4498,SUCCESS
noisy_0.5.mp3,We Are The Champions,71,1.5417,SUCCESS
noisy_0.6.mp3,We Are The Champions,30,1.455,SUCCESS
noisy_0.7.mp3,We Are The Champions,28,1.4721,SUCCESS
noisy_0.8.mp3,We Are The Champions,14,1.3829,SUCCESS
noisy_0.9.mp3,We Are The Champions,26,1.5719,SUCCESS
noisy_0.mp3,We Are The Champions,110,1.3547,SUCCESS
noisy_1.1.mp3,We Are The Champions,20,1.7142,SUCCESS
noisy_1.mp3,We Are The Champions,14,1.5505,SUCCESS
pitch_shift_0.1.mp3,We Are The Champions,81,1.3259,SUCCESS
pitch_shift_0.2.mp3,We Are The Champions,48,1.2165,SUCCESS
pitch_shift_0.5.mp3,We Are The Champions,56,1.1073,SUCCESS
pitch_shift_0.mp3,We Are The Champions,103,1.2486,SUCCESS
pitch_shift_1.0.mp3,We Are The Champions,41,1.2045,SUCCESS
pitch_shift_2.0.mp3,We Are The Champions,46,1.0697,SUCCESS
time_stretch_0.7.mp3,Day Tripper,15,1.5189,SUCCESS
time_stretch_0.75.mp3,Crazy Little Thing Called Love,13,1.4766,SUCCESS
time_stretch_0.8.mp3,Two Of Us,14,1.5336,SUCCESS
time_stretch_0.85.mp3,Get Back,9,0.9607,SUCCESS
time_stretch_0.9.mp3,Blackbird,16,1.2821,SUCCESS
time_stretch_0.95.mp3,We Are The Champions,15,1.2141,SUCCESS
time_stretch_1.05.mp3,We Are The Champions,19,1.1874,SUCCESS
time_stretch_1.1.mp3,Helter Skelter,13,1.0135,SUCCESS
time_stretch_1.15.mp3,Eleanor Rigby,15,0.9446,SUCCESS
time_stretch_1.2.mp3,A Day In The Life,9,0.7935,SUCCESS
time_stretch_1.25.mp3,A Hard Day_s Night,12,0.8032,SUCCESS
time_stretch_1.3.mp3,Two Of Us,12,0.7763,SUCCESS
time_stretch_1.mp3,We Are The Champions,103,1.1012,SUCCESS
